text,label
"there's a fire in the building on 5th street, smoke everywhere",1
someone just collapsed on the sidewalk and isn't breathing,1
i heard gunshots outside my apartment just now,1
a car just crashed into a tree and the driver is unconscious,1
there's a gas leak in my apartment i can smell it strongly,1
someone broke into my house and they're still inside,1
a child fell into the swimming pool and can't swim,1
there's a massive fight happening outside the bar with weapons,1
my neighbor's house is on fire the flames are spreading fast,1
i think someone is having a heart attack at the mall,1
a person was just stabbed at the bus stop,1
there's a car on fire on the highway blocking all lanes,1
someone is threatening people with a knife at the park,1
a tree just fell on a car with people inside,1
the river is flooding and water is entering our homes,1
a building just partially collapsed downtown,1
there's an active shooter at the school,1
a pedestrian was just hit by a car and is lying on the road,1
my baby is choking and turning blue please help,1
there's a chemical spill at the factory near the school,1
someone is trapped in the elevator and having a panic attack,1
a power line just fell down and is sparking on the ground,1
i can see someone drowning in the lake,1
there's a violent robbery happening at the gas station right now,1
an elderly person fell down the stairs and can't move,1
a tornado was just spotted heading toward our neighborhood,1
there are flames coming from the roof of the restaurant,1
someone is unconscious and bleeding on the train platform,1
a drunk driver just crashed through the storefront,1
i found an unresponsive person in the parking garage,1
multiple cars just collided on the interstate,1
someone is having a seizure at the grocery store,1
a man with a gun just entered the bank,1
my house is filling with smoke i think there's an electrical fire,1
a child is locked in a hot car in the parking lot,1
there's a bomb threat at the office building,1
someone fell off the balcony from the third floor,1
the bridge is cracking and there are cars on it,1
a woman is screaming for help from inside the apartment,1
carbon monoxide alarm is going off and my family feels dizzy,1
major earthquake just hit everything is shaking violently,1
a truck overturned and is leaking fuel on the highway,1
someone just got electrocuted by a downed wire,1
there's a landslide blocking the road with cars underneath,1
a person jumped into the river and hasn't come back up,1
my grandmother stopped breathing and she has no pulse,1
a wildfire is approaching our community we need evacuation,1
someone is being assaulted in the alley behind the store,1
a gas explosion just happened at the apartment complex,1
there's heavy smoke coming from the warehouse district,1
a car just drove into a crowd of people at the market,1
i see a person lying face down in the street not moving,1
armed robbery in progress at the jewelry store,1
flash flooding has trapped cars on the underpass,1
a construction crane just collapsed onto the building,1
someone is threatening to jump off the bridge,1
my child accidentally ingested cleaning chemicals,1
there's a multi-vehicle pileup on the freeway with injuries,1
a dog is viciously attacking someone in the park,1
i just witnessed a hit and run the victim is badly hurt,1
the apartment above us is flooding and the ceiling is caving in,1
an ambulance is needed immediately someone is in cardiac arrest,1
there's a hostage situation at the bank on main street,1
a train derailed near the residential area,1
someone is being kidnapped they're being forced into a van,1
severe allergic reaction my throat is swelling shut,1
a person was shot outside the nightclub,1
there's a sinkhole opening up in the middle of the road,1
explosion heard at the refinery thick black smoke rising,1
a child went missing at the amusement park,1
my husband is having a stroke his face is drooping,1
the dam is about to break upstream,1
a bus full of passengers just went off the road into a ditch,1
someone is pointing a gun at people in the parking lot,1
i smell gas very strongly in the basement it could explode,1
a person is trapped under the collapsed scaffolding,1
there's a high speed chase heading through the neighborhood,1
an infant is not breathing and is turning purple,1
the ferry is sinking and people are in the water,1
a home invasion is happening right now at my neighbor's house,1
lightning struck the house and it caught fire,1
someone overdosed and is barely conscious in the bathroom,1
a helicopter just crashed into the field near the highway,1
there's a man with a machete walking toward the school,1
major gas main break the whole street smells like rotten eggs,1
a car is submerged in the canal with someone inside,1
structural fire spreading to adjacent buildings downtown,1
a teenager was just pulled from the ocean and isn't breathing,1
violent domestic dispute next door i can hear screaming and breaking glass,1
the ceiling collapsed in the restaurant with diners inside,1
someone fell through the ice on the frozen lake,1
a plane just made an emergency landing on the highway,1
active assault with a baseball bat at the transit station,1
my coworker just had a massive allergic reaction and can't breathe,1
a truck carrying hazardous materials overturned and is leaking,1
there's a person on the roof threatening to jump,1
avalanche reported on the mountain pass with skiers trapped,1
a stabbing just occurred at the convenience store,1
flash flood waters are rising rapidly around stranded vehicles,1
someone set fire to the dumpster and it's spreading to the building,1
my neighbor just called screaming that someone is breaking in with a weapon,1
worker fell from scaffolding at the construction site he's not moving,1
forklift accident at the warehouse someone is pinned underneath,1
a machine malfunctioned at the factory and a worker's arm is trapped,1
explosion at the grain silo people are running out injured,1
boiler exploded in the basement of the office building,1
someone got their hand caught in the conveyor belt at the plant,1
industrial chemical leak workers are coughing and vomiting,1
the crane cable snapped and dropped a load onto the crew below,1
welder started a fire in the factory it's spreading to stored materials,1
a pressurized tank just ruptured at the refinery workers are down,1
my dad is having chest pains and his left arm is numb,1
someone is having trouble breathing and their lips are turning blue,1
a diabetic person just passed out and won't wake up,1
the patient is going into anaphylactic shock from a bee sting,1
a pregnant woman is bleeding heavily and in severe pain,1
someone just had a grand mal seizure and hit their head on the concrete,1
my mom took too many pills i think she tried to hurt herself,1
a hiker collapsed on the trail with heat stroke not responsive,1
someone is vomiting blood in the restaurant bathroom,1
an asthma attack and they can't find their inhaler turning blue,1
the old man fell and i can see bone sticking out of his leg,1
a child is running a 105 degree fever and having convulsions,1
hurricane is making landfall now the roof just ripped off our house,1
tsunami warning sirens are going off and water is already rising,1
hailstones the size of baseballs are smashing through car windows,1
a waterspout just came onshore and is tearing through the marina,1
blizzard conditions zero visibility and cars are piling up on the highway,1
ice storm brought down power lines they're sparking across the road,1
mudslide just hit the houses on the hillside people are trapped,1
volcanic ash is falling and we can barely breathe outside,1
lightning struck the transformer and the whole block is sparking,1
a dust storm has reduced visibility to zero and there's a massive pileup,1
someone is being attacked in the parking garage i can hear them screaming,1
a group of men are beating someone unconscious outside the club,1
there's a man waving a gun around inside the restaurant,1
someone just carjacked a woman at the intersection and drove off with her kid in the back,1
a store employee is being held at knifepoint during a robbery,1
i can hear someone being beaten in the apartment upstairs things are breaking,1
a road rage incident just escalated and someone pulled out a weapon,1
two rival groups are fighting with bats and chains in the parking lot,1
someone is following a woman and she's running and screaming for help,1
