text,label
"There's a fire in the building on 5th street, smoke everywhere",1
"Someone just collapsed on the sidewalk and isn't breathing",1
"I heard gunshots outside my apartment just now",1
"A car just crashed into a tree and the driver is unconscious",1
"There's a gas leak in my apartment I can smell it strongly",1
"Someone broke into my house and they're still inside",1
"A child fell into the swimming pool and can't swim",1
"There's a massive fight happening outside the bar with weapons",1
"My neighbor's house is on fire the flames are spreading fast",1
"I think someone is having a heart attack at the mall",1
"A person was just stabbed at the bus stop",1
"There's a car on fire on the highway blocking all lanes",1
"Someone is threatening people with a knife at the park",1
"A tree just fell on a car with people inside",1
"The river is flooding and water is entering our homes",1
"A building just partially collapsed downtown",1
"There's an active shooter at the school",1
"A pedestrian was just hit by a car and is lying on the road",1
"My baby is choking and turning blue please help",1
"There's a chemical spill at the factory near the school",1
"Someone is trapped in the elevator and having a panic attack",1
"A power line just fell down and is sparking on the ground",1
"I can see someone drowning in the lake",1
"There's a violent robbery happening at the gas station right now",1
"An elderly person fell down the stairs and can't move",1
"A tornado was just spotted heading toward our neighborhood",1
"There are flames coming from the roof of the restaurant",1
"Someone is unconscious and bleeding on the train platform",1
"A drunk driver just crashed through the storefront",1
"I found an unresponsive person in the parking garage",1
"Multiple cars just collided on the interstate",1
"Someone is having a seizure at the grocery store",1
"A man with a gun just entered the bank",1
"My house is filling with smoke I think there's an electrical fire",1
"A child is locked in a hot car in the parking lot",1
"There's a bomb threat at the office building",1
"Someone fell off the balcony from the third floor",1
"The bridge is cracking and there are cars on it",1
"A woman is screaming for help from inside the apartment",1
"Carbon monoxide alarm is going off and my family feels dizzy",1
"Major earthquake just hit everything is shaking violently",1
"A truck overturned and is leaking fuel on the highway",1
"Someone just got electrocuted by a downed wire",1
"There's a landslide blocking the road with cars underneath",1
"A person jumped into the river and hasn't come back up",1
"My grandmother stopped breathing and she has no pulse",1
"A wildfire is approaching our community we need evacuation",1
"Someone is being assaulted in the alley behind the store",1
"A gas explosion just happened at the apartment complex",1
"There's heavy smoke coming from the warehouse district",1
"A car just drove into a crowd of people at the market",1
"I see a person lying face down in the street not moving",1
"Armed robbery in progress at the jewelry store",1
"Flash flooding has trapped cars on the underpass",1
"A construction crane just collapsed onto the building",1
"Someone is threatening to jump off the bridge",1
"My child accidentally ingested cleaning chemicals",1
"There's a multi-vehicle pileup on the freeway with injuries",1
"A dog is viciously attacking someone in the park",1
"I just witnessed a hit and run the victim is badly hurt",1
"The apartment above us is flooding and the ceiling is caving in",1
"An ambulance is needed immediately someone is in cardiac arrest",1
"There's a hostage situation at the bank on Main Street",1
"A train derailed near the residential area",1
"Someone is being kidnapped they're being forced into a van",1
"Severe allergic reaction my throat is swelling shut",1
"A person was shot outside the nightclub",1
"There's a sinkhole opening up in the middle of the road",1
"Explosion heard at the refinery thick black smoke rising",1
"A child went missing at the amusement park",1
"My husband is having a stroke his face is drooping",1
"The dam is about to break upstream",1
"A bus full of passengers just went off the road into a ditch",1
"Someone is pointing a gun at people in the parking lot",1
"I smell gas very strongly in the basement it could explode",1
"A person is trapped under the collapsed scaffolding",1
"There's a high speed chase heading through the neighborhood",1
"An infant is not breathing and is turning purple",1
"The ferry is sinking and people are in the water",1
"A home invasion is happening right now at my neighbor's house",1
"Lightning struck the house and it caught fire",1
"Someone overdosed and is barely conscious in the bathroom",1
"A helicopter just crashed into the field near the highway",1
"There's a man with a machete walking toward the school",1
"Major gas main break the whole street smells like rotten eggs",1
"A car is submerged in the canal with someone inside",1
"Structural fire spreading to adjacent buildings downtown",1
"A teenager was just pulled from the ocean and isn't breathing",1
"Violent domestic dispute next door I can hear screaming and breaking glass",1
"The ceiling collapsed in the restaurant with diners inside",1
"Someone fell through the ice on the frozen lake",1
"A plane just made an emergency landing on the highway",1
"Active assault with a baseball bat at the transit station",1
"My coworker just had a massive allergic reaction and can't breathe",1
"A truck carrying hazardous materials overturned and is leaking",1
"There's a person on the roof threatening to jump",1
"Avalanche reported on the mountain pass with skiers trapped",1
"A stabbing just occurred at the convenience store",1
"Flash flood waters are rising rapidly around stranded vehicles",1
"Someone set fire to the dumpster and it's spreading to the building",1
"My neighbor just called screaming that someone is breaking in with a weapon",1
"Worker fell from scaffolding at the construction site he's not moving",1
"Forklift accident at the warehouse someone is pinned underneath",1
"A machine malfunctioned at the factory and a worker's arm is trapped",1
"Explosion at the grain silo people are running out injured",1
"Boiler exploded in the basement of the office building",1
"Someone got their hand caught in the conveyor belt at the plant",1
"Industrial chemical leak workers are coughing and vomiting",1
"The crane cable snapped and dropped a load onto the crew below",1
"Welder started a fire in the factory it's spreading to stored materials",1
"A pressurized tank just ruptured at the refinery workers are down",1
"My dad is having chest pains and his left arm is numb",1
"Someone is having trouble breathing and their lips are turning blue",1
"A diabetic person just passed out and won't wake up",1
"The patient is going into anaphylactic shock from a bee sting",1
"A pregnant woman is bleeding heavily and in severe pain",1
"Someone just had a grand mal seizure and hit their head on the concrete",1
"My mom took too many pills I think she tried to hurt herself",1
"A hiker collapsed on the trail with heat stroke not responsive",1
"Someone is vomiting blood in the restaurant bathroom",1
"An asthma attack and they can't find their inhaler turning blue",1
"The old man fell and I can see bone sticking out of his leg",1
"A child is running a 105 degree fever and having convulsions",1
"Hurricane is making landfall now the roof just ripped off our house",1
"Tsunami warning sirens are going off and water is already rising",1
"Hailstones the size of baseballs are smashing through car windows",1
"A waterspout just came onshore and is tearing through the marina",1
"Blizzard conditions zero visibility and cars are piling up on the highway",1
"Ice storm brought down power lines they're sparking across the road",1
"Mudslide just hit the houses on the hillside people are trapped",1
"Volcanic ash is falling and we can barely breathe outside",1
"Lightning struck the transformer and the whole block is sparking",1
"A dust storm has reduced visibility to zero and there's a massive pileup",1
"Someone is being attacked in the parking garage I can hear them screaming",1
